,home_goals,home_pim,home_shots,home_powerPlayPercentage,home_powerPlayGoals,home_powerPlayOpportunities,home_faceOffWinPercentage,home_blocked,home_takeaways,home_giveaways,home_hits,away_goals,away_pim,away_shots,away_powerPlayPercentage,away_powerPlayGoals,away_powerPlayOpportunities,away_faceOffWinPercentage,away_blocked,away_takeaways,away_giveaways,away_hits
0,4,10,29,14.3,0,0,,0,0,0,0,3,14,20,40.0,0,0,,0,0,0,0
1,2,9,31,0.0,0,0,,17,4,18,19,2,11,21,0.0,0,0,,8,3,11,30
2,4,10,29,0.0,0,0,68.2,17,5,2,23,2,12,15,33.3,0,0,31.8,8,6,4,23
3,2,8,30,0.0,0,0,,15,1,12,12,1,4,32,0.0,0,0,,13,3,5,14
4,4,18,33,33.3,0,0,,23,13,18,24,1,20,29,0.0,0,0,,8,8,9,27
5,0,10,27,0.0,0,0,51.6,13,8,16,45,4,4,40,40.0,0,0,48.4,4,3,9,22
6,3,6,50,16.7,0,0,,11,17,6,13,4,12,23,66.7,0,0,,17,10,8,15
7,0,9,18,0.0,0,0,,7,4,6,15,2,11,32,0.0,0,0,,15,2,4,11
8,0,0,0,0.0,0,0,,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,0
9,5,4,41,50.0,0,0,41.4,18,4,10,24,2,4,15,50.0,0,0,58.6,11,4,9,13
10,4,2,46,50.0,0,0,45.6,9,8,12,29,3,6,39,0.0,0,0,54.4,13,6,6,20
11,2,2,24,66.7,0,0,57.1,7,3,19,23,3,6,34,0.0,0,0,42.9,15,9,9,15
12,2,2,29,20.0,0,0,,14,12,13,31,0,10,18,0.0,0,0,,22,6,9,44
13,1,8,34,25.0,0,0,55.8,21,9,7,18,2,8,28,25.0,0,0,44.2,25,5,9,18
14,2,11,22,0.0,0,0,,6,4,7,17,4,7,34,100.0,0,0,,9,7,5,15
15,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0
16,3,50,28,16.7,0,0,,14,7,4,7,0,87,28,0.0,0,0,,15,6,5,10
17,0,4,25,0.0,0,0,46.3,10,4,14,20,3,12,24,0.0,0,0,53.7,26,5,4,10
18,0,0,0,0.0,0,0,,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,0
19,1,2,32,0.0,0,0,,10,5,3,26,2,4,31,0.0,0,0,,10,2,1,23
20,1,38,24,0.0,0,0,55.0,9,4,9,37,5,21,27,50.0,0,0,45.0,16,7,2,17
21,5,35,20,25.0,0,0,,0,0,0,0,1,17,26,0.0,0,0,,0,0,0,0
22,2,6,30,16.7,0,0,55.7,14,2,16,29,5,12,26,66.7,0,0,44.3,27,2,31,31
23,5,22,32,33.3,0,0,47.8,10,7,4,22,2,18,27,20.0,0,0,52.2,4,6,3,10
24,0,10,27,0.0,0,0,58.0,14,11,20,26,2,8,22,33.3,0,0,42.0,15,10,16,29
25,0,13,29,0.0,0,0,,0,0,0,0,2,15,21,25.0,0,0,,0,0,0,0
26,3,12,23,33.3,0,0,,9,11,8,24,4,8,36,20.0,0,0,,9,6,4,16
27,1,23,24,14.3,0,0,59.0,11,3,11,23,5,23,31,14.3,0,0,41.0,15,6,14,9
28,4,8,40,66.7,0,0,42.0,16,7,16,21,3,6,37,25.0,0,0,58.0,5,3,8,12
29,6,13,32,0.0,0,0,61.9,15,8,16,32,1,11,29,25.0,0,0,38.1,8,6,18,42
30,4,4,39,0.0,0,0,50.9,8,8,12,21,4,4,30,0.0,0,0,49.1,6,5,3,13
31,1,9,36,0.0,0,0,64.3,4,12,18,18,6,13,19,50.0,0,0,35.7,13,10,14,17
32,4,27,29,50.0,0,0,,0,0,0,0,4,14,39,0.0,0,0,,0,0,0,0
33,5,25,33,50.0,0,0,56.5,18,7,13,26,3,39,33,25.0,0,0,43.5,13,8,2,27
34,3,16,17,16.7,0,0,,0,0,0,0,1,12,27,12.5,0,0,,0,0,0,0
35,3,17,30,0.0,0,0,,0,0,0,0,2,15,22,0.0,0,0,,0,0,0,0
36,5,13,32,0.0,0,0,,14,20,12,19,4,8,21,0.0,0,0,,13,8,6,30
37,2,11,22,0.0,0,0,44.4,14,15,8,26,1,7,31,0.0,0,0,55.6,9,4,4,11
38,2,55,23,0.0,0,0,,0,0,0,0,5,29,27,28.6,0,0,,0,0,0,0
39,1,26,20,0.0,0,0,,10,5,14,24,2,19,26,0.0,0,0,,15,8,12,25
40,4,12,33,33.3,0,0,,7,5,2,19,4,12,35,75.0,0,0,,9,4,1,19
41,3,40,36,50.0,0,0,55.7,4,12,15,19,5,36,31,33.3,0,0,44.3,23,8,9,25
42,3,20,38,33.3,0,0,,12,13,7,20,4,18,29,50.0,0,0,,13,2,10,17
43,3,6,32,0.0,0,0,,13,11,18,24,2,10,23,0.0,0,0,,13,16,14,28
44,5,4,48,33.3,0,0,35.0,8,6,11,16,1,8,19,0.0,0,0,65.0,13,8,11,26
45,2,16,24,0.0,0,0,64.3,15,8,18,18,0,12,30,0.0,0,0,35.7,13,7,14,20
46,2,8,37,20.0,0,0,,0,0,0,0,5,12,28,66.7,0,0,,0,0,0,0
47,2,6,29,0.0,0,0,33.3,16,7,10,21,2,8,30,0.0,0,0,66.7,10,5,13,20
48,3,2,33,25.0,0,0,50.8,16,2,16,32,1,8,32,0.0,0,0,49.2,13,4,12,39
49,4,2,27,0.0,0,0,51.4,11,6,19,12,1,10,17,0.0,0,0,48.6,16,5,15,19
50,3,8,35,28.6,0,0,,10,7,11,27,4,14,21,50.0,0,0,,21,2,5,35
51,3,6,27,20.0,0,0,44.9,15,9,13,25,3,22,34,50.0,0,0,55.1,17,14,11,21
52,5,6,32,20.0,0,0,56.5,12,5,7,9,6,10,25,66.7,0,0,43.5,14,9,9,19
53,3,17,26,0.0,0,0,,0,0,0,0,2,19,24,16.7,0,0,,0,0,0,0
54,8,6,33,50.0,0,0,51.5,10,3,8,33,2,4,30,33.3,0,0,48.5,17,3,9,22
55,4,6,35,0.0,0,0,45.9,16,5,8,43,3,10,45,0.0,0,0,54.1,27,7,5,29
56,5,6,27,66.7,0,0,,12,11,21,18,2,6,26,33.3,0,0,,7,3,11,34
57,1,22,23,20.0,0,0,,9,7,2,24,0,22,22,0.0,0,0,,13,4,6,18
58,4,10,35,0.0,0,0,,16,11,14,14,3,10,36,0.0,0,0,,14,8,7,13
59,3,13,22,33.3,0,0,,13,4,18,24,2,17,22,0.0,0,0,,10,3,12,27
60,1,6,38,0.0,0,0,45.9,9,7,9,17,1,8,21,33.3,0,0,54.1,15,9,7,16
61,1,4,24,25.0,0,0,,16,5,6,23,4,8,32,0.0,0,0,,10,6,5,22
62,4,12,26,50.0,0,0,48.5,17,9,6,22,3,8,40,40.0,0,0,51.5,15,9,6,31
63,4,4,37,0.0,0,0,56.9,9,4,12,31,3,6,26,0.0,0,0,43.1,15,3,12,26
64,1,12,43,0.0,0,0,51.9,11,7,9,26,2,6,20,25.0,0,0,48.1,16,5,7,28
65,3,13,31,50.0,0,0,58.5,20,5,5,22,1,9,42,0.0,0,0,41.5,11,4,4,20
66,3,8,32,20.0,0,0,,0,0,0,0,1,10,19,0.0,0,0,,0,0,0,0
67,1,8,24,0.0,0,0,52.7,15,7,11,23,2,4,27,25.0,0,0,47.3,14,6,10,31
68,2,10,29,14.3,0,0,,14,4,8,19,0,16,31,0.0,0,0,,18,5,3,19
69,1,8,29,0.0,0,0,46.2,12,8,3,14,2,12,19,0.0,0,0,53.8,22,7,2,12
70,6,10,29,0.0,0,0,60.3,11,13,16,22,1,8,27,0.0,0,0,39.7,10,6,16,30
71,2,8,38,33.3,0,0,,10,12,3,25,3,12,32,0.0,0,0,,22,6,2,26
72,7,11,26,50.0,0,0,52.1,19,8,6,26,3,13,31,100.0,0,0,47.9,12,9,11,40
73,1,6,31,20.0,0,0,50.0,13,4,9,21,4,10,27,33.3,0,0,50.0,20,6,6,22
74,3,8,20,33.3,0,0,45.1,12,5,18,23,1,6,40,0.0,0,0,54.9,10,3,14,14
75,6,24,23,20.0,0,0,,0,0,0,0,2,24,28,0.0,0,0,,0,0,0,0
76,3,8,28,0.0,0,0,48.6,23,5,12,44,1,6,38,50.0,0,0,51.4,10,3,8,37
77,7,13,33,0.0,0,0,47.5,11,10,1,35,1,5,33,25.0,0,0,52.5,6,3,5,32
78,1,8,19,0.0,0,0,,9,4,15,11,5,12,26,25.0,0,0,,16,4,13,6
79,2,25,30,0.0,0,0,,20,12,11,32,4,17,39,12.5,0,0,,10,8,10,17
80,5,12,32,60.0,0,0,,20,4,15,38,3,12,33,20.0,0,0,,15,8,11,29
81,1,23,48,0.0,0,0,52.2,15,12,15,29,1,10,26,0.0,0,0,47.8,18,10,8,26
82,4,13,17,0.0,0,0,,0,0,0,0,3,11,28,33.3,0,0,,0,0,0,0
83,2,2,21,0.0,0,0,55.0,17,13,16,33,1,2,34,0.0,0,0,45.0,12,8,10,24
84,3,9,33,0.0,0,0,47.4,18,8,5,40,4,7,35,0.0,0,0,52.6,7,6,7,43
85,2,4,35,25.0,0,0,,16,5,8,20,2,8,37,50.0,0,0,,10,5,6,17
86,1,17,22,0.0,0,0,50.0,9,5,5,24,4,9,38,0.0,0,0,50.0,12,7,5,14
87,4,47,23,25.0,0,0,,8,2,3,26,5,27,35,30.0,0,0,,9,2,6,20
88,4,6,32,50.0,0,0,53.0,9,8,6,18,1,8,39,33.3,0,0,47.0,16,5,7,26
89,2,6,24,0.0,0,0,58.7,17,6,4,24,0,2,18,0.0,0,0,41.3,12,4,11,27
90,5,8,27,25.0,0,0,,0,0,0,0,2,8,25,0.0,0,0,,0,0,0,0
91,4,8,27,0.0,0,0,51.9,20,11,9,20,2,6,35,25.0,0,0,48.1,9,5,8,19
92,3,24,18,0.0,0,0,48.0,16,9,28,18,5,22,25,14.3,0,0,52.0,10,10,19,11
93,3,4,34,66.7,0,0,58.9,14,7,4,25,1,6,37,0.0,0,0,41.1,18,4,5,33
94,4,16,25,100.0,0,0,,10,8,8,19,2,6,26,14.3,0,0,,6,4,8,19
95,2,4,24,0.0,0,0,43.1,11,4,6,25,4,2,29,0.0,0,0,56.9,12,6,10,16
96,2,6,29,0.0,0,0,55.6,11,1,8,11,3,4,24,0.0,0,0,44.4,9,3,6,10
97,2,33,39,20.0,0,0,,0,0,0,0,5,39,27,100.0,0,0,,0,0,0,0
98,2,10,29,0.0,0,0,,18,11,7,22,5,8,26,25.0,0,0,,15,6,13,14
99,2,13,36,0.0,0,0,44.9,17,2,7,27,4,15,25,0.0,0,0,55.1,22,2,6,28
100,2,6,16,0.0,0,0,,0,0,0,0,1,10,26,0.0,0,0,,0,0,0,0
101,3,8,23,25.0,0,0,52.6,18,3,8,14,4,8,31,0.0,0,0,47.4,18,10,3,15
102,2,4,31,25.0,0,0,,11,7,8,18,1,8,30,0.0,0,0,,13,2,7,13
103,5,10,22,50.0,0,0,51.2,16,11,18,30,0,4,24,0.0,0,0,48.8,18,3,5,24
104,0,0,0,0.0,0,0,,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,0
