,edmonton_goals,edmonton_pim,edmonton_shots,edmonton_powerPlayPercentage,edmonton_powerPlayGoals,edmonton_powerPlayOpportunities,edmonton_faceOffWinPercentage,edmonton_blocked,edmonton_takeaways,edmonton_giveaways,edmonton_hits,against_goals,against_pim,against_shots,against_powerPlayPercentage,against_powerPlayGoals,against_powerPlayOpportunities,against_faceOffWinPercentage,against_blocked,against_takeaways,against_giveaways,against_hits
0,2,4,33,0.0,0.0,0.0,52.9,9,10,11,34,0,0,25,0.0,0.0,2.0,47.1,17,2,7,34
1,2,4,37,0.0,0.0,2.0,72.1,5,1,4,22,4,4,24,0.0,0.0,2.0,27.9,31,7,12,26
2,1,12,27,0.0,0.0,4.0,43.9,14,9,17,19,6,8,34,33.3,2.0,6.0,56.1,10,5,10,21
3,6,8,29,100.0,1.0,1.0,43.1,11,9,14,25,2,2,20,0.0,0.0,4.0,56.9,13,9,14,31
4,2,10,40,0.0,0.0,2.0,70.2,17,7,13,25,4,4,33,0.0,0.0,5.0,29.8,11,10,16,23
5,5,2,26,50.0,2.0,4.0,45.3,9,6,9,16,3,8,21,0.0,0.0,1.0,54.7,12,8,16,10
6,2,8,28,20.0,1.0,5.0,47.5,8,19,17,13,3,10,22,25.0,1.0,4.0,52.5,12,17,28,18
7,3,8,22,0.0,0.0,2.0,49.0,18,12,17,24,2,4,33,0.0,0.0,4.0,51.0,17,6,11,21
8,6,10,31,40.0,2.0,5.0,48.3,18,9,19,26,5,12,32,20.0,1.0,5.0,51.7,12,6,16,33
9,5,4,27,40.0,2.0,5.0,42.0,17,8,14,12,2,10,27,0.0,0.0,2.0,58.0,16,7,25,19
10,3,4,22,66.7,2.0,3.0,47.2,14,13,6,26,3,6,31,0.0,0.0,2.0,52.8,12,10,6,31
11,4,8,27,50.0,1.0,2.0,50.0,9,8,15,18,1,4,21,0.0,0.0,4.0,50.0,11,9,22,21
12,1,8,28,33.3,1.0,3.0,51.8,16,5,11,31,3,8,35,0.0,0.0,3.0,48.2,13,10,7,36
13,6,12,22,100.0,2.0,2.0,50.0,19,10,25,23,3,4,52,33.3,2.0,6.0,50.0,9,15,23,23
14,2,2,37,0.0,0.0,2.0,51.9,12,10,16,24,1,4,26,0.0,0.0,1.0,48.1,18,3,16,15
15,0,8,28,0.0,0.0,2.0,49.0,18,6,5,14,0,4,23,0.0,0.0,4.0,51.0,12,11,10,17
16,0,8,25,0.0,0.0,2.0,49.0,19,3,3,14,3,6,30,33.3,1.0,3.0,51.0,9,5,6,12
17,4,6,40,0.0,0.0,2.0,49.3,14,10,19,20,3,6,28,50.0,1.0,2.0,50.7,21,8,11,19
18,2,2,26,33.3,1.0,3.0,46.3,13,9,13,22,6,6,29,0.0,0.0,1.0,53.7,17,7,12,11
19,1,8,32,0.0,0.0,3.0,41.1,8,3,1,23,3,8,28,33.3,1.0,3.0,58.9,11,3,12,22
20,4,6,31,20.0,1.0,5.0,39.2,13,4,3,14,1,10,24,33.3,1.0,3.0,60.8,20,5,8,18
21,2,10,28,0.0,0.0,2.0,51.6,17,10,3,33,1,4,52,0.0,0.0,5.0,48.4,7,8,9,26
22,2,6,28,0.0,0.0,2.0,55.6,11,12,17,29,3,4,24,0.0,0.0,3.0,44.4,13,9,16,21
23,2,6,34,33.3,1.0,3.0,41.0,21,16,18,15,5,6,25,66.7,2.0,3.0,59.0,15,11,7,20
24,4,8,32,33.3,1.0,3.0,58.9,10,10,9,16,0,6,29,0.0,0.0,4.0,41.1,20,9,8,18
25,6,10,31,50.0,2.0,4.0,43.1,15,8,16,15,2,8,33,0.0,0.0,5.0,56.9,8,5,12,21
26,3,23,24,0.0,0.0,2.0,49.1,18,10,12,32,6,11,25,0.0,0.0,3.0,50.9,15,8,10,21
27,6,15,28,66.7,4.0,6.0,49.1,16,8,15,24,2,17,33,0.0,0.0,5.0,50.9,11,4,8,14
28,4,4,34,33.3,1.0,3.0,42.9,12,12,8,25,5,6,36,0.0,0.0,2.0,57.1,14,7,14,30
29,5,4,29,50.0,1.0,2.0,39.0,19,10,9,22,2,4,35,0.0,0.0,2.0,61.0,9,10,10,35
30,1,22,26,0.0,0.0,2.0,49.1,16,2,6,23,5,4,30,16.7,1.0,6.0,50.9,8,4,16,27
31,4,0,31,33.3,1.0,3.0,49.2,19,12,1,36,2,6,27,0.0,0.0,0.0,50.8,18,10,14,46
32,3,4,37,100.0,1.0,1.0,49.1,15,6,9,21,3,2,30,50.0,1.0,2.0,50.9,17,11,8,18
33,1,29,20,0.0,0.0,1.0,35.4,19,11,9,21,4,8,50,0.0,0.0,5.0,64.6,12,10,11,25
34,2,6,30,0.0,0.0,3.0,52.5,9,5,15,25,5,6,38,33.3,1.0,3.0,47.5,16,6,15,15
35,3,4,28,100.0,2.0,2.0,55.3,23,6,8,14,2,4,32,0.0,0.0,2.0,44.7,9,10,6,19
36,2,6,26,14.3,1.0,7.0,49.1,11,3,8,18,5,14,25,50.0,1.0,2.0,50.9,16,12,7,26
37,2,4,20,66.7,2.0,3.0,40.7,15,8,14,19,1,6,36,0.0,0.0,2.0,59.3,9,8,14,32
38,2,6,28,33.3,1.0,3.0,62.7,15,12,23,13,3,6,22,0.0,0.0,3.0,37.3,9,4,14,17
39,3,18,36,20.0,1.0,5.0,43.1,15,8,22,21,6,10,32,75.0,3.0,4.0,56.9,6,10,13,17
40,5,7,33,50.0,1.0,2.0,50.0,11,4,2,15,6,9,26,0.0,0.0,1.0,50.0,13,10,7,9
41,1,2,37,50.0,1.0,2.0,52.6,8,14,17,29,4,4,32,100.0,1.0,1.0,47.4,13,10,13,21
42,2,6,28,16.7,1.0,6.0,43.6,20,7,12,17,1,12,35,0.0,0.0,3.0,56.4,8,9,17,31
43,1,10,36,0.0,0.0,4.0,50.9,13,6,5,11,2,8,44,0.0,0.0,5.0,49.1,3,13,10,19
44,2,4,28,0.0,0.0,2.0,44.9,12,9,19,29,5,6,26,100.0,1.0,1.0,55.1,8,11,13,23
45,4,7,26,20.0,1.0,5.0,51.8,21,5,20,27,3,15,26,100.0,1.0,1.0,48.2,13,6,5,24
46,2,11,29,50.0,1.0,2.0,43.8,20,5,4,13,4,11,28,50.0,1.0,2.0,56.2,15,7,3,21
47,1,2,29,0.0,0.0,2.0,50.0,15,8,19,28,5,4,31,0.0,0.0,1.0,50.0,12,7,16,23
48,7,6,31,50.0,3.0,6.0,43.9,24,12,23,17,5,16,33,0.0,0.0,1.0,56.1,13,12,15,23
49,2,4,27,0.0,0.0,1.0,65.3,9,5,9,19,3,2,26,0.0,0.0,2.0,34.7,5,5,6,19
50,4,6,26,0.0,0.0,2.0,55.6,14,6,11,31,1,4,36,33.3,1.0,3.0,44.4,14,8,8,29
51,6,10,35,20.0,1.0,5.0,41.3,12,9,15,33,4,12,36,25.0,1.0,4.0,58.7,15,9,13,21
52,4,4,26,50.0,1.0,2.0,51.6,15,5,13,23,2,4,37,0.0,0.0,2.0,48.4,9,5,13,23
53,3,14,32,0.0,0.0,1.0,45.3,14,14,16,20,4,2,33,50.0,1.0,2.0,54.7,13,10,15,29
54,4,6,32,50.0,2.0,4.0,40.3,15,9,9,24,2,8,32,0.0,0.0,3.0,59.7,18,8,8,23
55,7,8,27,25.0,1.0,4.0,56.5,14,14,10,21,3,8,30,50.0,2.0,4.0,43.5,15,9,7,18
56,3,16,34,25.0,1.0,4.0,47.0,14,10,22,35,3,22,28,0.0,0.0,1.0,53.0,14,8,10,24
57,4,6,35,0.0,0.0,1.0,53.7,21,14,14,22,2,2,32,0.0,0.0,3.0,46.3,23,1,10,35
58,8,45,49,33.3,1.0,3.0,38.6,8,9,10,11,3,57,26,0.0,0.0,2.0,61.4,10,6,15,15
59,0,8,30,0.0,0.0,3.0,56.2,17,2,9,24,3,8,27,0.0,0.0,3.0,43.8,21,4,8,17
60,3,8,31,0.0,0.0,1.0,58.7,16,8,12,22,6,4,31,33.3,1.0,3.0,41.3,12,8,14,27
61,3,8,36,50.0,2.0,4.0,63.2,22,12,20,26,2,10,29,0.0,0.0,3.0,36.8,14,7,12,16
62,5,6,31,66.7,2.0,3.0,52.5,11,12,12,25,3,6,41,0.0,0.0,3.0,47.5,8,8,11,20
63,1,0,30,0.0,0.0,2.0,44.1,10,9,3,33,3,4,37,0.0,0.0,0.0,55.9,8,12,5,41
64,4,16,29,0.0,0.0,1.0,41.8,17,8,9,8,1,12,34,0.0,0.0,3.0,58.2,6,9,16,20
65,4,8,24,33.3,1.0,3.0,40.7,10,5,6,19,3,8,31,0.0,0.0,3.0,59.3,14,4,8,17
66,1,14,29,16.7,1.0,6.0,61.8,19,8,16,22,2,12,34,0.0,0.0,7.0,38.2,12,7,15,22
67,3,4,26,0.0,0.0,2.0,57.7,13,8,13,22,5,4,39,0.0,0.0,2.0,42.3,26,4,13,28
68,4,6,31,50.0,1.0,2.0,44.8,12,2,7,16,2,4,23,33.3,1.0,3.0,55.2,10,4,11,23
69,3,6,32,33.3,1.0,3.0,61.4,11,5,9,16,4,6,21,33.3,1.0,3.0,38.6,16,6,12,27
70,0,6,29,0.0,0.0,3.0,47.7,15,5,5,20,3,6,33,33.3,1.0,3.0,52.3,19,13,5,32
71,3,4,22,100.0,2.0,2.0,50.0,18,13,19,27,2,4,41,0.0,0.0,2.0,50.0,17,7,12,26
72,8,4,35,100.0,1.0,1.0,45.7,17,8,7,17,3,2,30,0.0,0.0,2.0,54.3,12,4,10,10
73,2,12,27,40.0,2.0,5.0,37.5,18,5,17,19,1,10,43,16.7,1.0,6.0,62.5,4,16,15,22
74,3,4,24,0.0,0.0,1.0,40.4,13,6,6,37,4,2,31,0.0,0.0,2.0,59.6,12,10,12,28
75,4,6,24,0.0,0.0,1.0,56.1,10,7,16,34,1,4,46,0.0,0.0,3.0,43.9,9,10,5,21
76,2,4,24,0.0,0.0,0.0,54.0,17,12,16,46,3,0,48,50.0,1.0,2.0,46.0,15,6,14,37
77,2,0,38,0.0,0.0,1.0,59.1,14,6,13,18,4,2,25,0.0,0.0,0.0,40.9,9,9,7,20
78,4,12,30,25.0,1.0,4.0,50.9,12,4,9,17,1,12,37,25.0,1.0,4.0,49.1,8,2,3,25
79,4,12,29,75.0,3.0,4.0,52.6,15,8,17,47,6,8,42,50.0,3.0,6.0,47.4,15,4,8,33
80,6,8,35,20.0,1.0,5.0,59.6,22,8,19,27,3,10,26,0.0,0.0,4.0,40.4,14,1,14,10
81,3,14,28,33.3,1.0,3.0,53.6,14,4,6,15,4,10,25,16.7,1.0,6.0,46.4,13,3,10,19
82,2,6,45,0.0,0.0,5.0,46.4,10,10,11,26,3,11,29,0.0,0.0,2.0,53.6,21,8,12,21
83,3,4,31,0.0,0.0,4.0,51.8,17,4,10,18,5,8,35,0.0,0.0,2.0,48.2,14,5,6,19
84,5,20,46,50.0,2.0,4.0,46.4,29,8,12,37,2,18,40,0.0,0.0,5.0,53.6,10,11,11,24
85,1,4,35,0.0,0.0,3.0,60.4,11,6,16,32,5,6,36,50.0,1.0,2.0,39.6,21,3,12,34
86,1,10,26,0.0,0.0,7.0,55.6,13,3,8,17,3,14,34,20.0,1.0,5.0,44.4,9,2,3,31
87,3,4,22,33.3,1.0,3.0,42.0,19,4,6,25,1,6,26,0.0,0.0,2.0,58.0,6,2,9,20
88,2,4,32,0.0,0.0,2.0,44.0,17,2,8,34,4,4,29,100.0,2.0,2.0,56.0,15,9,17,26
89,4,4,38,0.0,0.0,3.0,50.9,13,4,5,20,3,6,38,50.0,1.0,2.0,49.1,20,2,11,15
90,4,10,26,100.0,2.0,2.0,41.1,11,8,6,17,6,4,33,20.0,1.0,5.0,58.9,5,6,9,20
91,3,8,29,28.6,2.0,7.0,52.9,10,7,23,18,4,14,27,50.0,2.0,4.0,47.1,14,8,20,24
92,4,4,31,50.0,1.0,2.0,58.1,10,9,10,19,3,4,29,50.0,1.0,2.0,41.9,16,8,8,17
93,8,10,31,80.0,4.0,5.0,59.1,14,6,9,14,5,10,38,40.0,2.0,5.0,40.9,12,1,11,19
94,4,10,25,0.0,0.0,2.0,47.5,20,8,20,22,2,4,25,0.0,0.0,5.0,52.5,20,9,13,31
95,4,8,32,20.0,1.0,5.0,50.7,9,3,11,12,6,12,28,33.3,1.0,3.0,49.3,18,7,11,20
96,3,14,35,0.0,0.0,4.0,51.9,17,4,14,23,1,18,28,0.0,0.0,2.0,48.1,11,5,13,17
97,3,4,22,0.0,0.0,1.0,43.8,13,5,7,28,2,2,42,0.0,0.0,2.0,56.2,6,4,8,27
98,3,6,31,33.3,1.0,3.0,54.7,14,2,15,26,0,8,38,0.0,0.0,1.0,45.3,12,3,18,44
99,5,9,45,50.0,1.0,2.0,50.0,14,9,4,37,6,9,24,50.0,1.0,2.0,50.0,15,10,2,17
100,3,20,30,16.7,1.0,6.0,55.2,23,6,20,26,2,12,35,20.0,1.0,5.0,44.8,13,3,9,21
101,2,6,25,0.0,0.0,2.0,45.9,16,9,17,19,1,4,21,0.0,0.0,3.0,54.1,8,12,26,12
102,7,15,24,60.0,3.0,5.0,41.8,14,11,21,37,1,15,44,20.0,1.0,5.0,58.2,11,12,15,32
103,4,4,29,25.0,1.0,4.0,42.2,18,8,3,29,3,8,33,0.0,0.0,2.0,57.8,15,8,9,19
104,3,8,34,40.0,2.0,5.0,56.9,21,8,2,17,0,10,32,0.0,0.0,4.0,43.1,16,6,4,17
105,0,2,30,0.0,0.0,0.0,48.1,5,9,14,41,4,0,29,100.0,1.0,1.0,51.9,12,9,11,21
106,0,38,31,0.0,0.0,4.0,57.8,7,6,8,22,3,23,23,25.0,1.0,4.0,42.2,14,6,7,16
107,1,10,27,0.0,0.0,0.0,42.6,11,7,17,42,6,0,32,40.0,2.0,5.0,57.4,20,8,12,21
108,3,16,33,0.0,0.0,2.0,55.8,8,8,13,42,2,14,36,33.3,1.0,3.0,44.2,18,11,10,40
109,3,11,37,33.3,1.0,3.0,59.6,21,7,19,21,2,23,28,0.0,0.0,2.0,40.4,17,10,14,25
110,7,2,36,50.0,2.0,4.0,56.7,16,8,9,23,1,8,22,0.0,0.0,1.0,43.3,9,9,14,49
111,6,4,37,25.0,1.0,4.0,55.6,17,12,13,19,2,8,25,50.0,1.0,2.0,44.4,10,7,11,37
112,1,4,35,25.0,1.0,4.0,40.4,19,5,1,17,2,8,28,50.0,1.0,2.0,59.6,25,8,10,24
113,3,11,31,0.0,0.0,1.0,61.7,9,6,8,24,4,7,27,0.0,0.0,3.0,38.3,7,12,8,16
114,7,6,30,75.0,3.0,4.0,55.4,13,2,7,18,3,8,33,33.3,1.0,3.0,44.6,5,5,11,17
115,2,2,21,0.0,0.0,1.0,56.9,12,10,12,29,1,2,25,0.0,0.0,1.0,43.1,11,5,13,18
116,4,6,37,0.0,0.0,3.0,51.1,10,9,16,25,2,16,31,33.3,1.0,3.0,48.9,24,3,11,26
117,3,4,20,0.0,0.0,1.0,33.3,16,6,6,32,4,2,31,0.0,0.0,2.0,66.7,12,7,18,13
118,3,2,23,0.0,0.0,1.0,44.2,8,6,17,33,2,2,31,0.0,0.0,1.0,55.8,12,9,19,22
119,0,13,17,0.0,0.0,3.0,50.9,18,2,3,33,4,11,32,0.0,0.0,4.0,49.1,8,2,14,23
120,3,6,25,40.0,2.0,5.0,43.2,13,8,17,22,2,12,26,0.0,0.0,2.0,56.8,14,8,17,39
121,2,4,23,25.0,1.0,4.0,34.6,14,7,15,28,3,8,32,0.0,0.0,2.0,65.4,9,11,12,28
122,4,4,35,33.3,1.0,3.0,38.3,15,6,16,25,2,6,30,0.0,0.0,2.0,61.7,8,5,13,35
123,3,4,23,100.0,1.0,1.0,45.1,12,4,8,30,1,2,40,0.0,0.0,2.0,54.9,9,3,5,33
124,0,8,17,0.0,0.0,2.0,55.9,15,8,20,17,5,4,32,25.0,1.0,4.0,44.1,12,8,17,15
