,id,fullName,link,firstName,lastName,primaryNumber,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,currentTeam,primaryPosition,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,timeOnIcePerGame,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,assists,goals,pim,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame
0,8469608,Mike Smith,/api/v1/people/8469608,Mike,Smith,41,1982-03-22,39,Kingston,ON,CAN,CAN,"6' 5""",220,True,False,False,False,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'G', 'name': 'Goalie', 'type': 'Goalie', 'abbreviation': 'G'}",156:04,0.0,0.0,0.0,2.0,0.0,92.0,19.0,4.0,69.0,4.0,75.0,21.0,0.92,3.0756,3,3.0,100.0,8.0,52:01,90.47619047619048,100.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,
1,8480802,Ryan McLeod,/api/v1/people/8480802,Ryan,McLeod,71,1999-09-21,22,Mississauga,ON,CAN,CAN,"6' 2""",207,True,False,False,True,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",11:44,,,,,,,,,,,,,,,2,,,,05:52,,,,0.0,0.0,2.0,0.0,1.0,0.0,0.0,00:00,10:47,2,50.0,0.0,0.0,0.0,0.0,0.0,00:57,0.0,0.0,0.0,17.0,05:23,00:28,00:00
2,8470281,Duncan Keith,/api/v1/people/8470281,Duncan,Keith,2,1983-07-16,38,Winnipeg,MB,CAN,CAN,"6' 1""",192,True,False,False,False,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",94:55,,,,,,,,,,,,,,,5,,,,18:59,,,,1.0,0.0,0.0,6.0,4.0,0.0,0.0,00:23,83:39,0,0.0,0.0,0.0,0.0,0.0,0.0,10:53,9.0,-1.0,1.0,117.0,16:43,02:10,00:04
3,8471729,Kris Russell,/api/v1/people/8471729,Kris,Russell,6,1987-05-02,34,Caroline,AB,CAN,CAN,"5' 10""",170,True,False,False,False,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",24:38,,,,,,,,,,,,,,,2,,,,12:19,,,,1.0,0.0,2.0,2.0,2.0,0.0,0.0,00:00,23:03,2,0.0,0.0,0.0,0.0,0.0,0.0,01:35,2.0,0.0,1.0,34.0,11:31,00:47,00:00
4,8474068,Kyle Turris,/api/v1/people/8474068,Kyle,Turris,8,1989-08-14,32,New Westminster,BC,CAN,CAN,"6' 1""",190,True,False,False,False,R,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",34:17,,,,,,,,,,,,,,,4,,,,08:34,,,,0.0,0.0,2.0,4.0,1.0,0.0,0.0,01:50,32:27,2,57.14,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,45.0,08:06,00:00,00:27
5,8474098,Colton Sceviour,/api/v1/people/8474098,Colton,Sceviour,70,1989-04-20,32,Red Deer,AB,CAN,CAN,"6' 0""",190,True,False,False,False,R,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",15:40,,,,,,,,,,,,,,,2,,,,07:50,,,,0.0,0.0,17.0,4.0,5.0,0.0,0.0,00:00,15:40,17,0.0,0.0,0.0,0.0,0.0,0.0,00:00,4.0,0.0,0.0,21.0,07:50,00:00,00:00
6,8475156,Mikko Koskinen,/api/v1/people/8475156,Mikko,Koskinen,19,1988-07-18,33,Vantaa,,FIN,FIN,"6' 7""",202,True,False,False,False,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'G', 'name': 'Goalie', 'type': 'Goalie', 'abbreviation': 'G'}",147:39,0.0,0.0,0.0,3.0,0.0,83.0,9.0,0.0,74.0,0.0,79.0,9.0,0.943,2.0318,3,2.0,88.0,5.0,49:13,100.0,,93.67088607594937,,,,,,,,,,,,,,,,,,,,,,,,
7,8475178,Zack Kassian,/api/v1/people/8475178,Zack,Kassian,44,1991-01-24,30,Windsor,ON,CAN,CAN,"6' 3""",211,True,False,False,False,R,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}",53:32,,,,,,,,,,,,,,,4,,,,13:23,,,,2.0,3.0,18.0,4.0,23.0,1.0,1.0,01:35,51:28,18,0.0,75.0,1.0,0.0,0.0,0.0,00:29,0.0,1.0,5.0,70.0,12:52,00:07,00:23
8,8475197,Tyson Barrie,/api/v1/people/8475197,Tyson,Barrie,22,1991-07-26,30,Victoria,BC,CAN,CAN,"5' 11""",197,True,False,False,False,R,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",97:53,,,,,,,,,,,,,,,5,,,,19:34,,,,2.0,0.0,4.0,8.0,3.0,0.0,1.0,13:14,84:36,4,0.0,0.0,0.0,0.0,0.0,0.0,00:03,6.0,-1.0,2.0,103.0,16:55,00:00,02:38
9,8475786,Zach Hyman,/api/v1/people/8475786,Zach,Hyman,18,1992-06-09,29,Toronto,ON,CAN,CAN,"6' 1""",211,True,False,False,False,R,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}",89:00,,,,,,,,,,,,,,,5,,,,17:48,,,,1.0,5.0,4.0,12.0,4.0,3.0,3.0,11:22,66:41,4,64.28,41.7,1.0,0.0,1.0,1.0,10:57,2.0,-3.0,6.0,112.0,13:20,02:11,02:16
