Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Open OU,,Close OU,
1001,1,V,Toronto,1,2,1,4,110,115,5.5,-105,5.5,100
1001,2,H,Montreal,2,0,1,3,-130,-135,5.5,-115,5.5,-120
1001,3,V,Washington,1,1,2,4,145,155,5.5,-105,5.5,110
1001,4,H,Chicago,2,1,3,6,-165,-175,5.5,-115,5.5,-130
1001,5,V,Winnipeg,2,1,2,5,125,120,5.5,-110,5.5,100
1001,6,H,Edmonton,2,2,0,4,-145,-140,5.5,-110,5.5,-120
1002,51,V,Toronto,0,1,2,3,114,125,5.5,-120,6,-110
1002,52,H,Philadelphia,1,0,0,1,-134,-145,5.5,100,6,-110
1002,53,V,Buffalo,0,0,1,1,162,180,5.5,100,5.5,110
1002,54,H,Detroit,2,0,0,2,-182,-210,5.5,-120,5.5,-130
1002,55,V,Anaheim,0,0,1,1,-104,105,5.5,-105,5.5,-120
1002,56,H,Colorado,1,3,2,6,-116,-125,5.5,-115,5.5,100
1003,1,V,Calgary,3,1,0,4,175,210,5.5,-104,5.5,-125
1003,2,H,Washington,0,3,1,5,-195,-250,5.5,-116,5.5,105
1003,3,V,NewJersey,0,0,0,0,165,170,5.5,-104,5.5,-105
1003,4,H,Pittsburgh,2,0,1,3,-185,-190,5.5,-116,5.5,-115
1003,5,V,TampaBay,0,1,0,1,173,180,5.5,-104,5.5,-115
1003,6,H,Boston,1,1,1,3,-193,-210,5.5,-116,5.5,-105
1003,7,V,Nashville,1,1,0,2,165,170,5,-104,5,-120
1003,8,H,St.Louis,3,1,0,4,-185,-200,5,-116,5,100
1003,9,V,LosAngeles,1,0,1,3,-104,-115,5,-110,5,-120
1003,10,H,Minnesota,2,0,0,2,-116,-105,5,-110,5,100
1003,11,V,Florida,1,0,3,4,145,135,5.5,-105,5.5,-115
1003,12,H,Dallas,0,1,1,2,-165,-155,5.5,-115,5.5,-105
1003,13,V,NYRangers,0,1,0,1,-104,110,5,-120,5,-130
1003,14,H,Phoenix,1,1,2,4,-116,-130,5,100,5,110
