Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Puck Line,,Open OU,,Close OU,
1008,1,V,Montreal,1,1,2,4,-105,-105,1.5,-305,5.5,106,5.5,110
1008,2,H,Toronto,2,0,1,3,-115,-115,-1.5,250,5.5,-126,5.5,-130
1008,3,V,Philadelphia,0,0,1,1,175,165,1.5,-180,5.5,123,5.5,115
1008,4,H,Boston,1,0,1,2,-195,-185,-1.5,155,5.5,-143,5.5,-135
1008,5,V,SanJose,1,3,0,4,101,130,1.5,-240,5.5,127,5,-136
1008,6,H,LosAngeles,0,0,0,0,-121,-150,-1.5,200,5.5,-147,5,116
1008,7,V,Vancouver,1,2,1,4,-131,-126,-1.5,230,5.5,123,5,-140
1008,8,H,Calgary,0,2,0,2,111,106,1.5,-275,5.5,-143,5,120
1009,51,V,Montreal,0,0,1,2,115,125,1.5,-245,5.5,-105,5.5,115
1009,52,H,Washington,1,0,0,1,-135,-145,-1.5,205,5.5,-115,5.5,-135
1009,53,V,Anaheim,1,2,1,4,120,125,1.5,-225,5.5,-120,5.5,-115
1009,54,H,Pittsburgh,3,2,1,6,-140,-145,-1.5,190,5.5,100,5.5,-105
1009,55,V,NewJersey,1,2,3,6,120,-105,1.5,-295,5,-130,5,-125
1009,56,H,Philadelphia,0,3,1,4,-140,-115,-1.5,245,5,110,5,105
1009,57,V,Columbus,0,1,2,3,-125,-122,-1.5,240,5.5,115,5,-140
1009,58,H,Buffalo,0,1,0,1,105,102,1.5,-290,5.5,-135,5,120
1009,59,V,Boston,1,0,0,1,-115,-115,-1.5,250,5.5,120,5,-125
1009,60,H,Detroit,0,2,0,2,-105,-105,1.5,-305,5.5,-140,5,105
1009,61,V,Florida,0,1,1,2,160,164,1.5,-165,5.5,-115,5.5,-110
1009,62,H,TampaBay,0,1,1,3,-180,-184,-1.5,140,5.5,-105,5.5,-110
1009,63,V,Ottawa,0,1,1,2,115,120,1.5,-250,5.5,-105,5.5,105
1009,64,H,Nashville,0,0,3,3,-135,-140,-1.5,210,5.5,-115,5.5,-125
1009,65,V,NYRangers,1,0,2,3,140,135,1.5,-225,5.5,120,5,-120
1009,66,H,St.Louis,0,0,2,2,-160,-155,-1.5,190,5.5,-140,5,100
1009,67,V,Chicago,1,0,1,3,-120,-115,-1.5,250,5.5,-130,5.5,-120
1009,68,H,Dallas,0,2,0,2,100,-105,1.5,-300,5.5,110,5.5,100
1009,69,V,Colorado,0,0,0,0,120,105,1.5,-275,5.5,125,5.5,130
1009,70,H,Minnesota,1,4,0,5,-140,-125,-1.5,230,5.5,-145,5.5,-150
1009,71,V,Calgary,2,0,3,5,125,120,1.5,-240,5.5,-105,5.5,105
1009,72,H,Edmonton,1,1,0,2,-145,-140,-1.5,200,5.5,-115,5.5,-125
1009,73,V,Winnipeg,4,1,1,6,125,120,1.5,-240,5.5,100,5.5,105
1009,74,H,Arizona,1,0,1,2,-145,-140,-1.5,200,5.5,-120,5.5,-125
1010,1,V,NYIslanders,2,1,2,5,-110,-130,-1.5,220,5.5,-105,5.5,100
1010,2,H,Carolina,0,0,3,3,-110,110,1.5,-265,5.5,-115,5.5,-120
1011,51,V,Washington,2,1,1,4,150,145,1.5,-210,5,-135,5,-115
1011,52,H,Boston,0,0,0,0,-170,-165,-1.5,180,5,115,5,-105
1011,53,V,Anaheim,0,1,2,3,100,-105,1.5,-300,5.5,-105,5.5,110
1011,54,H,Detroit,0,1,1,2,-120,-115,-1.5,250,5.5,-115,5.5,-130
1011,55,V,NewJersey,4,1,0,5,-120,-125,-1.5,245,5,-115,5,-115
1011,56,H,Florida,0,1,0,1,100,105,1.5,-295,5,-105,5,-105
1011,57,V,Carolina,2,0,1,3,155,150,1.5,-200,5.5,100,5.5,100
1011,58,H,NYIslanders,2,2,0,4,-175,-170,-1.5,170,5.5,-120,5.5,-120
1011,59,V,NYRangers,0,1,1,2,-115,100,1.5,-300,5,-110,5,-120
1011,60,H,Columbus,2,1,2,5,-105,-120,-1.5,250,5,-110,5,100
1011,61,V,Pittsburgh,3,1,1,5,-135,-138,-1.5,210,5.5,-125,5.5,-130
1011,62,H,Toronto,0,1,1,2,115,118,1.5,-255,5.5,105,5.5,110
1011,63,V,Ottawa,0,0,2,3,155,160,1.5,-190,5.5,-115,5.5,-115
1011,64,H,TampaBay,1,0,1,2,-175,-180,-1.5,161,5.5,-105,5.5,-105
1011,65,V,Montreal,0,0,3,4,-105,-105,1.5,-310,5,-140,5,-160
1011,66,H,Philadelphia,3,0,0,3,-115,-115,-1.5,255,5,120,5,140
