Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Puck Line,,Open OU,,Close OU,
1012,1,V,Toronto,2,2,0,4,114,121,1.5,-245,5.5,-110,5.5,105
1012,2,H,Ottawa,2,1,1,5,-134,-141,-1.5,205,5.5,-110,5.5,-125
1012,3,V,St.Louis,0,2,3,5,108,101,1.5,-270,5,-120,5,-120
1012,4,H,Chicago,1,1,0,2,-128,-121,-1.5,220,5,100,5,100
1012,5,V,Calgary,1,2,1,4,108,103,1.5,-295,5.5,100,5.5,115
1012,6,H,Edmonton,3,2,2,7,-128,-123,-1.5,235,5.5,-120,5.5,-135
1012,7,V,LosAngeles,1,0,0,1,104,143,1.5,-240,5,-120,5,-120
1012,8,H,SanJose,1,0,1,2,-124,-163,-1.5,200,5,100,5,100
1013,51,V,Boston,0,3,3,6,-105,120,1.5,-260,5.5,115,5.5,110
1013,52,H,Columbus,2,1,0,3,-115,-140,-1.5,210,5.5,-135,5.5,-130
1013,53,V,Montreal,1,1,2,4,-105,-131,-1.5,220,5.5,115,5.5,120
1013,54,H,Buffalo,0,0,1,1,-115,111,1.5,-270,5.5,-135,5.5,-140
1013,55,V,NYIslanders,0,0,3,3,115,110,1.5,-245,5.5,120,5,-140
1013,56,H,NYRangers,1,1,3,5,-135,-130,-1.5,205,5.5,-140,5,120
1013,57,V,Detroit,2,1,1,4,150,153,1.5,-200,5,-135,5,-110
1013,58,H,TampaBay,0,2,4,6,-170,-173,-1.5,170,5,115,5,-110
1013,59,V,NewJersey,1,0,0,1,125,133,1.5,-240,5,105,5,125
1013,60,H,Florida,1,0,0,2,-145,-153,-1.5,200,5,-125,5,-145
1013,61,V,Carolina,1,2,1,4,120,104,1.5,-300,5,-130,5,-135
1013,62,H,Winnipeg,1,0,3,5,-140,-124,-1.5,240,5,110,5,115
1013,63,V,Washington,1,0,1,2,-125,-109,1.5,-310,5,-135,5,-110
1013,64,H,Pittsburgh,0,2,0,3,105,-111,-1.5,250,5,115,5,-110
1013,65,V,Minnesota,0,1,1,2,115,-104,1.5,-300,5,-130,5,-120
1013,66,H,St.Louis,1,1,1,3,-135,-116,-1.5,240,5,110,5,100
1013,67,V,Anaheim,1,0,1,2,115,111,1.5,-290,5.5,-125,5.5,100
1013,68,H,Dallas,1,1,2,4,-135,-131,-1.5,230,5.5,105,5.5,-120
1014,1,V,Chicago,2,0,0,2,-102,109,1.5,-275,5,-140,5,-140
1014,2,H,Nashville,2,1,0,3,-118,-129,-1.5,225,5,120,5,120
1014,3,V,Edmonton,1,1,3,5,110,130,1.5,-240,5.5,-110,5.5,-101
1014,4,H,Calgary,2,0,1,3,-130,-150,-1.5,200,5.5,-110,5.5,-119
1014,5,V,Philadelphia,0,4,0,4,110,124,1.5,-235,5.5,115,5,-135
1014,6,H,LosAngeles,0,1,1,2,-130,-144,-1.5,195,5.5,-135,5,115
1015,51,V,Winnipeg,2,0,1,3,130,145,1.5,-210,5,-125,5,-140
1015,52,H,Minnesota,0,3,1,4,-150,-165,-1.5,180,5,105,5,120
1015,53,V,Montreal,0,1,2,3,-105,100,1.5,-290,5.5,-105,5.5,-105
1015,54,H,Ottawa,2,0,1,4,-115,-120,-1.5,230,5.5,-115,5.5,-115
1015,55,V,NYIslanders,1,0,0,1,145,164,1.5,-185,5.5,115,5,-135
1015,56,H,Washington,1,1,0,2,-165,-184,-1.5,165,5.5,-135,5,115
1015,57,V,NewJersey,2,0,0,2,165,154,1.5,-200,5,115,5,-105
1015,58,H,TampaBay,0,2,1,3,-185,-174,-1.5,170,5,-135,5,-115
1015,59,V,Detroit,1,0,0,1,130,115,1.5,-260,5,-115,5,-120
1015,60,H,Florida,2,0,2,4,-150,-135,-1.5,210,5,-105,5,100
1015,61,V,Anaheim,1,1,0,2,110,133,1.5,-245,5,-120,5,-125
1015,62,H,Pittsburgh,1,2,0,3,-130,-153,-1.5,205,5,100,5,105
1015,63,V,SanJose,2,0,1,3,-130,-159,-1.5,190,5.5,115,5.5,110
1015,64,H,Columbus,0,0,2,2,110,139,1.5,-230,5.5,-135,5.5,-130
1015,65,V,Boston,1,0,0,1,-115,-105,1.5,-310,5.5,-115,5.5,-126
1015,66,H,Toronto,3,0,1,4,-105,-115,-1.5,250,5.5,-105,5.5,106
1015,67,V,NYRangers,1,1,0,2,116,108,1.5,-260,5,-130,5,-130
1015,68,H,St.Louis,2,1,0,3,-136,-128,-1.5,210,5,110,5,110
1015,69,V,Nashville,1,1,1,3,120,115,1.5,-260,5.5,110,5.5,110
1015,70,H,Chicago,3,0,2,5,-140,-135,-1.5,210,5.5,-130,5.5,-130
1015,71,V,Dallas,2,2,1,5,-105,-115,-1.5,230,5.5,-125,5.5,-135
1015,72,H,Colorado,2,3,1,6,-115,-105,1.5,-290,5.5,105,5.5,115
1015,73,V,Philadelphia,1,1,1,3,-105,-101,1.5,-300,5.5,100,5,-145
1015,74,H,Arizona,2,1,0,4,-115,-119,-1.5,240,5.5,-120,5,125
1015,75,V,Calgary,1,0,0,1,110,102,1.5,-290,5.5,105,5.5,100
1015,76,H,Vancouver,0,0,1,2,-130,-122,-1.5,230,5.5,-125,5.5,-120
1016,1,V,Anaheim,0,0,2,2,110,101,1.5,-300,5,-135,5.5,115
1016,2,H,NYIslanders,1,0,1,3,-130,-121,-1.5,240,5,115,5.5,-135
1016,3,V,Buffalo,2,2,2,6,160,162,1.5,-200,5.5,110,5.5,100
1016,4,H,Edmonton,2,0,0,2,-180,-182,-1.5,170,5.5,-130,5.5,-120
1016,5,V,Carolina,2,1,0,3,-102,-137,-1.5,225,5,-135,5,-145
1016,6,H,Vancouver,0,1,2,4,-118,117,1.5,-275,5,115,5,125
1017,51,V,SanJose,1,0,3,4,-105,-140,-1.5,210,5.5,120,5,-130
1017,52,H,NYRangers,1,2,4,7,-115,120,1.5,-260,5.5,-140,5,110
1017,53,V,Colorado,2,0,1,4,140,151,1.5,-200,5.5,-105,5.5,-105
1017,54,H,Pittsburgh,2,0,1,3,-160,-171,-1.5,170,5.5,-115,5.5,-115
1017,55,V,Ottawa,0,1,0,1,117,125,1.5,-245,5.5,105,5.5,-105
1017,56,H,Detroit,3,0,2,5,-137,-145,-1.5,205,5.5,-125,5.5,-115
1017,57,V,Boston,1,1,2,4,-105,104,1.5,-315,5.5,110,5.5,115
1017,58,H,Winnipeg,1,0,0,1,-115,-124,-1.5,250,5.5,-130,5.5,-135
1018,1,V,Anaheim,1,0,0,1,-120,-112,-1.5,250,5,100,5,-110
1018,2,H,NewJersey,0,2,0,2,100,-108,1.5,-315,5,-120,5,-110
1018,3,V,Colorado,0,0,0,0,180,170,1.5,-175,5.5,105,5.5,-105
1018,4,H,Washington,1,1,1,3,-210,-200,-1.5,155,5.5,-125,5.5,-115
1018,5,V,SanJose,1,1,1,3,105,-108,1.5,-290,5.5,100,5.5,100
1018,6,H,NYIslanders,0,2,0,2,-125,-112,-1.5,230,5.5,-120,5.5,-120
1018,7,V,Pittsburgh,0,0,0,0,110,104,1.5,-300,5.5,-110,5.5,105
1018,8,H,Montreal,1,1,2,4,-130,-124,-1.5,240,5.5,-110,5.5,-125
1018,9,V,Florida,0,1,2,3,145,122,1.5,-240,5,-130,5,-145
1018,10,H,TampaBay,0,2,1,4,-165,-142,-1.5,200,5,110,5,125
1018,11,V,Arizona,1,0,3,4,115,100,1.5,-275,5.5,-110,5.5,-115
1018,12,H,Ottawa,2,1,4,7,-135,-120,-1.5,225,5.5,-110,5.5,-105
1018,13,V,Dallas,0,1,1,2,115,137,1.5,-230,5.5,-115,6,-115
1018,14,H,Nashville,0,1,0,1,-135,-157,-1.5,190,5.5,-105,6,-105
1018,15,V,LosAngeles,1,0,2,3,125,102,1.5,-300,5,-130,5,-140
1018,16,H,Minnesota,2,3,1,6,-145,-122,-1.5,240,5,110,5,120
1018,17,V,Philadelphia,0,1,3,4,145,125,1.5,-230,5.5,110,5.5,120
1018,18,H,Chicago,3,1,3,7,-165,-145,-1.5,190,5.5,-130,5.5,-140
1018,19,V,Carolina,0,0,2,2,120,120,1.5,-260,5.5,-110,5.5,105
1018,20,H,Edmonton,2,1,0,3,-140,-140,-1.5,210,5.5,-110,5.5,-125
1018,21,V,Buffalo,1,1,1,3,125,135,1.5,-230,5.5,-105,5.5,110
1018,22,H,Calgary,1,0,2,4,-145,-155,-1.5,190,5.5,-115,5.5,-130
1018,23,V,St.Louis,0,1,0,1,-150,-158,-1.5,195,5,-125,5,-140
1018,24,H,Vancouver,0,0,1,2,130,138,1.5,-235,5,105,5,120
1019,51,V,Detroit,0,1,1,2,135,150,1.5,-200,5.5,100,5.5,100
1019,52,H,NYRangers,1,0,0,1,-155,-170,-1.5,170,5.5,-120,5.5,-120
1019,53,V,Toronto,2,2,0,4,110,-105,1.5,-300,5.5,-110,5.5,-121
1019,54,H,Winnipeg,0,1,3,5,-130,-115,-1.5,240,5.5,-110,5.5,101
1020,1,V,Anaheim,1,1,1,3,-102,105,1.5,-300,5,-140,5,-135
1020,2,H,Philadelphia,0,2,0,2,-118,-125,-1.5,240,5,120,5,115
1020,3,V,SanJose,0,2,0,2,-108,-130,-1.5,229,5.5,105,5.5,120
1020,4,H,Pittsburgh,0,0,3,3,-112,110,1.5,-279,5.5,-125,5.5,-140
1020,5,V,NewJersey,0,0,1,1,125,140,1.5,-230,5,100,5,-110
1020,6,H,Boston,0,0,2,2,-145,-160,-1.5,190,5,-120,5,-110
1020,7,V,Arizona,0,2,0,2,170,160,1.5,-175,5.5,100,5.5,115
1020,8,H,Montreal,1,3,1,5,-200,-180,-1.5,155,5.5,-120,5.5,-135
1020,9,V,Washington,2,0,2,4,-120,-111,-1.5,250,5,-130,5,110
1020,10,H,Florida,1,1,0,2,100,-109,1.5,-310,5,110,5,-130
1020,11,V,Colorado,1,1,2,4,155,165,1.5,-185,5.5,-105,5.5,110
1020,12,H,TampaBay,0,0,0,0,-175,-185,-1.5,165,5.5,-115,5.5,-130
1020,13,V,Toronto,0,2,0,2,160,170,1.5,-180,5.5,105,5.5,105
